 ,Label,DA,tDA
1,VOI_001x001y,0.464,1.866
2,VOI_001x101y,0.465,1.868
3,VOI_001x201y,0.231,1.300
4,VOI_001x301y,0.528,2.117
5,VOI_101x001y,0.380,1.612
6,VOI_101x101y,0.348,1.534
7,VOI_101x201y,0.104,1.116
8,VOI_101x301y,0.680,3.126
9,VOI_201x001y,0.250,1.333
10,VOI_201x101y,0.341,1.517
11,VOI_201x201y,0.187,1.229
12,VOI_201x301y,0.458,1.846
13,VOI_301x001y,0.175,1.212
14,VOI_301x101y,0.449,1.815
15,VOI_301x201y,0.621,2.636
16,VOI_301x301y,0.574,2.348
17,VOI_401x001y,0.368,1.583
18,VOI_401x101y,0.574,2.349
19,VOI_401x201y,0.612,2.576
20,VOI_401x301y,0.545,2.198
21,VOI_501x001y,0.585,2.411
22,VOI_501x101y,0.411,1.697
23,VOI_501x201y,0.336,1.507
24,VOI_501x301y,0.539,2.167
25,VOI_601x001y,0.227,1.293
26,VOI_601x101y,0.465,1.869
27,VOI_601x201y,0.591,2.446
28,VOI_601x301y,0.234,1.305
29,VOI_701x001y,0.277,1.383
30,VOI_701x101y,0.362,1.568
31,VOI_701x201y,0.389,1.638
32,VOI_701x301y,0.379,1.610
33,VOI_801x001y,0.326,1.485
34,VOI_801x101y,0.349,1.537
35,VOI_801x201y,0.337,1.508
36,VOI_801x301y,0.679,3.113
37,VOI_901x001y,0.522,2.091
38,VOI_901x101y,0.420,1.725
39,VOI_901x201y,0.392,1.644
40,VOI_901x301y,0.375,1.599
