 ,Label,Tb.Th Mean (pixels),Tb.Th Std Dev (pixels),Tb.Th Max (pixels),Tb.Sp Mean (pixels),Tb.Sp Std Dev (pixels),Tb.Sp Max (pixels)
1,VOI_001x001y,6.438,2.762,15.62,14.99,8.378,37.736
2,VOI_001x101y,4.356,1.641,14.422,18.328,7.163,43.267
3,VOI_001x201y,4.016,1.329,10,22.899,8.789,42
4,VOI_001x301y,4.63,1.591,10.392,24.168,8.331,38.21
5,VOI_101x001y,5.529,2.134,14,13.45,6.156,27.857
6,VOI_101x101y,4.812,1.714,11.662,15.64,7.786,36.77
7,VOI_101x201y,5.026,1.702,12.806,21.232,11.432,48.415
8,VOI_101x301y,4.472,1.649,12.806,22.507,7.649,36.932
9,VOI_201x001y,4.359,1.261,8.485,17.622,7.987,35.833
10,VOI_201x101y,5.06,2.067,12.806,19.201,8.514,37.736
11,VOI_201x201y,5.171,1.789,12.961,20.727,12.338,56.143
12,VOI_201x301y,4.272,1.517,13.416,24.316,9.133,40.1
13,VOI_301x001y,3.561,1.09,10.954,25.873,8.803,42.942
14,VOI_301x101y,4.262,1.487,11.489,24.699,9.595,47.917
15,VOI_301x201y,4.517,1.658,11.489,24.614,8.622,39.749
16,VOI_301x301y,3.747,1.184,8.246,26.398,7.929,44.677
17,VOI_401x001y,3.809,1.219,8.246,26.176,8.072,39.9
18,VOI_401x101y,6.997,6.705,35.327,24.577,10.569,48.208
19,VOI_401x201y,8.705,7.896,33.166,28.4,12.452,48.703
20,VOI_401x301y,4.412,1.645,10.77,25.217,8.621,40.988
21,VOI_501x001y,3.735,1.252,7.483,27.02,9.377,52.154
22,VOI_501x101y,3.873,1.819,14.56,27.364,9.715,52.192
23,VOI_501x201y,4.049,1.549,9.798,31.106,10.956,50.398
24,VOI_501x301y,4.015,1.311,9.381,27.562,7.664,39.038
25,VOI_601x001y,3.806,1.176,6.633,25.46,7.289,41.617
26,VOI_601x101y,4.082,1.624,12.961,23.85,8.108,43.128
27,VOI_601x201y,3.876,1.261,9.165,30.909,10.457,50.16
28,VOI_601x301y,3.984,1.309,8.246,31.633,12.945,64.529
29,VOI_701x001y,3.725,1.047,7.211,21.461,7.237,41.665
30,VOI_701x101y,4.903,3.728,20,20.766,8.438,40.792
31,VOI_701x201y,4.617,2.757,22.361,27.869,10.058,46.087
32,VOI_701x301y,4.238,1.432,10,25.446,9.373,46.174
33,VOI_801x001y,3.786,1.076,8.944,20.101,6.76,32.802
34,VOI_801x101y,3.989,1.205,10,21.775,7.493,38.21
35,VOI_801x201y,3.847,1.258,8.944,24.978,7.805,39.345
36,VOI_801x301y,4.498,1.575,10.198,25.074,7.119,36.77
37,VOI_901x001y,4.457,1.35,9.798,19.694,7.563,35.384
38,VOI_901x101y,4.175,1.433,10.198,24.78,10.596,47.244
39,VOI_901x201y,4.207,1.414,8.944,26.104,9.322,46.69
40,VOI_901x301y,4.544,1.885,12.329,26.837,8.672,45.738
