 ,Label,BV (pixels³),TV (pixels³),BV/TV
1,VOI_001x001y,354092,1000000,0.354
2,VOI_001x101y,198995,1000000,0.199
3,VOI_001x201y,138637,1000000,0.139
4,VOI_001x301y,161112,1000000,0.161
5,VOI_101x001y,343767,1000000,0.344
6,VOI_101x101y,287348,1000000,0.287
7,VOI_101x201y,235971,1000000,0.236
8,VOI_101x301y,155527,1000000,0.156
9,VOI_201x001y,228316,1000000,0.228
10,VOI_201x101y,228271,1000000,0.228
11,VOI_201x201y,245142,1000000,0.245
12,VOI_201x301y,138277,1000000,0.138
13,VOI_301x001y,97625,1000000,0.098
14,VOI_301x101y,138279,1000000,0.138
15,VOI_301x201y,136355,1000000,0.136
16,VOI_301x301y,89252,1000000,0.089
17,VOI_401x001y,99749,1000000,0.100
18,VOI_401x101y,177657,1000000,0.178
19,VOI_401x201y,188766,1000000,0.189
20,VOI_401x301y,124527,1000000,0.125
21,VOI_501x001y,84890,1000000,0.085
22,VOI_501x101y,84752,1000000,0.085
23,VOI_501x201y,83523,1000000,0.084
24,VOI_501x301y,90442,1000000,0.090
25,VOI_601x001y,98167,1000000,0.098
26,VOI_601x101y,114526,1000000,0.115
27,VOI_601x201y,80261,1000000,0.080
28,VOI_601x301y,86159,1000000,0.086
29,VOI_701x001y,133087,1000000,0.133
30,VOI_701x101y,165519,1000000,0.166
31,VOI_701x201y,117680,1000000,0.118
32,VOI_701x301y,130948,1000000,0.131
33,VOI_801x001y,146312,1000000,0.146
34,VOI_801x101y,147221,1000000,0.147
35,VOI_801x201y,98595,1000000,0.099
36,VOI_801x301y,132351,1000000,0.132
37,VOI_901x001y,196762,1000000,0.197
38,VOI_901x101y,136968,1000000,0.137
39,VOI_901x201y,118477,1000000,0.118
40,VOI_901x301y,119592,1000000,0.120
